Global_ID,MTR,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20051012,98,1,1,3,SVREC,0,1012,FALSE,2005,X15405/G13444,G19620,3,49,2020,1539.1,16.75,33.9,50,43,3,3,3,15,30.04115047,34.41676829
20071012,99,8,1,4,SVREC,0,1012,FALSE,2007,R12845/R12859,R17602,4,56,2020,2012.5,15.03,38.7,44,49,2,4,2,15,40.09285539,40.10169512
20111012,106,2,1,3,SVREC,0,1012,FALSE,2011,NE1-18-15,I20806,3,61,2020,1342.2,13.29,39.7,42,31,5,2,1,15,27.28675559,41.98032927
20121012,96,22,1,3,SVREC,0,1012,FALSE,2012,"Eldorado/P11519, CHARRO",P16901,3,73,2020,1960.4,13.62,38.8,44,54,3,4,2,15,39.70300458,40.8724878
20061012,94,9,1,3,SVREC,0,1012,FALSE,2006,Eldorado*/Palomino//G13444 (SDP),P19103,3,81,2020,1891.2,12.75,35.6,43,51,2,4,1,15,38.68729589,37.87926829
20031012,95,82,,1,SVREC,0,1012,FALSE,2003,B16504/N17504,N20397,2,83,2020,158.3,14.5,20.3,47,39,3,4,2,16,2.97497819,21.16646341
20041012,94,147,,2,SVREC,3,1012,FALSE,2004,"BL14506, BLACK BEARD",I19703,1,103,2020,1778.5,13.98,19.2,48,54,2,5,3,16,33.62715025,20.14126829
20091012,95,15,,2,SVREC,0,1012,FALSE,2009,R17604/I13401,R20615,1,166,2020,1200.7,11.53,28.5,52,47,2,5,1,16,23.34894674,30.74871951
20131013,99,10,1,3,SVREC,2,1013,FALSE,2013,"Jaguar/BL05222, BLACK BEAR",I17501,3,3,2020,1425.4,12.38,21.9,46,64,2,6,3,15,29.28232008,23.40095122
20021013,98,10,1,3,SVREC,0,1013,FALSE,2002,"Jaguar/BL05222, BLACK BEAR",I17501,3,22,2020,1505.6,14.28,23.4,47,50,1,6,3,15,30.25918654,24.46156098
20011013,96,10,1,3,SVREC,0,1013,FALSE,2001,N13131/N14201,N18105,3,34,2020,1653.4,13.88,19.7,45,58,1,6,2,15,33.38469667,20.68980488
20051013,96,3,1,4,SVREC,0,1013,FALSE,2005,G14530/G11431,G17418,4,46,2020,1940.9,14.57,34.6,44,55,1,5,3,15,38.87577381,36.04729268
20071013,96,1,1,5,SVREC,0,1013,FALSE,2007,S14706/R13752,S18904,5,54,2020,2015.7,13.68,41.9,44,50,1,6,1,15,40.79461208,44.10741463
20111013,106,26,1,3,SVREC,0,1013,FALSE,2011,NE1-17-19,I18605,3,62,2020,1306.3,15.46,38.6,44,30,5,2,2,15,25.89230121,39.79565854
20121013,96,7,1,4,SVREC,0,1013,FALSE,2012,PT16-12-1,I20804,4,70,2020,1606.7,13.95,37.5,44,49,2,4,2,15,32.41538235,39.35213415
20061013,92,16,1,4,SVREC,5,1013,FALSE,2006,"PT16-9, USDA DIAMONDBACK",I18623,4,78,2020,1652.3,14.72,35.8,43,48,2,5,2,15,33.0370739,37.232
20031013,94,91,,1,SVREC,1,1013,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,2,84,2020,1773.2,12.92,17.6,47,49,3,4,2,16,33.94008297,18.69034146
20041013,94,146,,2,SVREC,2,1013,FALSE,2004,"B04644/ZORRO, ZENITH",B10244,1,104,2020,1882.5,13.51,19.6,46,56,2,5,1,16,35.7880173,20.67321951
20091013,92,156,,2,SVREC,0,1013,FALSE,2009,R12859/R12844,R17604,1,167,2020,1403,11.95,30.1,46,51,2,6,1,16,27.15337316,32.32079268
20131014,96,25,1,3,SVREC,0,1014,FALSE,2013,B16507/B16501,B19341,3,4,2020,1478.1,11.59,20.7,45,54,1,6,2,15,30.63872494,22.31813415
20021014,97,25,1,3,SVREC,0,1014,FALSE,2002,B16507/B16501,B19341,3,23,2020,1561.3,14.17,20.9,46,45,1,5,3,15,31.4188983,21.87618293
20011014,96,25,1,3,SVREC,0,1014,FALSE,2001,N16405/B16504,N19262,3,35,2020,1490,13.97,19,44,44,1,5,4,15,30.05395775,19.93378049
20051014,97,7,1,4,SVREC,0,1014,FALSE,2005,"Eldorado/G13467, EIGER",G16351,4,47,2020,1802.2,13.23,31.8,44,52,2,5,4,15,36.66384963,33.64982927
20071014,97,16,1,5,SVREC,5,1014,FALSE,2007,PK16-1,I17546,5,55,2020,1672.4,13.35,35.7,41,27,5,2,4,15,33.9761532,37.72445122
20111014,96,34,1,3,SVREC,0,1014,FALSE,2011,"PT11-13-31, USDA RATTLER",I20801,3,63,2020,1972.4,13.52,43.4,42,47,2,5,2,15,39.99227914,45.77112195
